# E			DOS_ED
1.8629411764706	0.095243919688149
1.9805882352941	0.0748317404607003
2.0982352941176	0.0603203527685692
2.2158823529412	0.0512446722348464
2.3335294117647	0.0451427042589495
2.4511764705882	0.0405286290449658
2.5688235294118	0.0377149239924463
2.6864705882353	0.0371278502961165
2.8041176470588	0.0379857098016075
2.9217647058824	0.0391290895898329
3.0394117647059	0.0397584201590546
3.1570588235294	0.0408702981725959
3.2747058823529	0.0431900103505045
3.3923529411765	0.0450651713675282
3.51		0.0465997393032596
3.6276470588235	0.0492441032266974
3.7452941176471	0.0536175349798313
3.8629411764706	0.0586168250892599
3.9805882352941	0.0589505939014865
4.0982352941176	0.0543294144320993
4.2158823529412	0.0504474893239376
4.3335294117647	0.0482871348302531
4.4511764705882	0.0467002481728919
4.5688235294118	0.0472231071030845
